Mach,CD Power-On
0.01,0.569051588947098
0.02,0.526053769909518
0.03,0.525832698358115
0.04,0.525615888613045
0.05,0.525403299666652
0.06,0.525195019868164
0.07,0.524991009030607
0.08,0.524791277153984
0.09,0.524595888921437
0.10,0.524404882495222
0.11,0.52421820218454
0.12,0.52403593083479
0.13,0.523858125787545
0.14,0.523684782359661
0.15,0.523515977892708
0.16,0.523351719541288
0.17,0.523192082809228
0.18,0.523037127696529
0.19,0.522886921544762
0.20,0.522741521508527
0.21,0.522600975750081
0.22,0.522465341424022
0.23,0.522334793400468
0.24,0.522209326809303
0.25,0.522089081837497
0.26,0.522456874690987
0.27,0.52282913090941
0.28,0.523205929485112
0.29,0.52358745876732
0.30,0.523973811414461
0.31,0.524365069077309
0.32,0.524761467446662
0.33,0.525163146522522
0.34,0.525570250801059
0.35,0.525982942940703
0.36,0.52640141844528
0.37,0.526825879152536
0.38,0.527256540566297
0.39,0.527693566995764
0.40,0.528137296977138
0.41,0.528587922161189
0.42,0.529045712547919
0.43,0.529510946299582
0.44,0.529983978099324
0.45,0.530465077760172
0.46,0.530954592623698
0.47,0.531452951039129
0.48,0.531960481811839
0.49,0.532477693478027
0.50,0.533004953005321
0.51,0.533542787735294
0.52,0.534091723171772
0.53,0.534652346656328
0.54,0.535225235343562
0.55,0.535811092078875
0.56,0.536410566675294
0.57,0.537024539506763
0.58,0.537653712857765
0.59,0.538299096094591
0.60,0.538961662883322
0.61,0.540487449221424
0.62,0.542000834459092
0.63,0.543533427424312
0.64,0.545086685458657
0.65,0.546662174065954
0.66,0.548261657929348
0.67,0.549886959520295
0.68,0.55154028370891
0.69,0.553223938470478
0.70,0.554940605829714
0.71,0.555828201103475
0.72,0.556660936129506
0.73,0.557492006598604
0.74,0.558321379665372
0.75,0.559149070833637
0.76,0.559975081941143
0.77,0.560799395646318
0.78,0.561622011949161
0.79,0.562443031223618
0.80,0.563262364933489
0.81,0.5661910442734
0.82,0.56911802621098
0.83,0.572043455803318
0.84,0.574967195334898
0.85,0.57788930499269
0.86,0.58080986230524
0.87,0.583728762402431
0.88,0.58664603446358
0.89,0.589561726837915
0.90,0.592475849525434
0.91,0.596504685302207
0.92,0.608591192632526
0.93,0.638876353967081
0.94,0.681316915640713
0.95,0.723757477314346
0.96,0.766198038987978
0.97,0.80863860066161
0.98,0.851079162335243
0.99,0.893519724008876
1.00,0.935960285682508
1.01,0.97840084735614
1.02,1.02084140902977
1.03,1.06328197070341
1.04,1.10572253237704
1.05,1.14816309405067
1.06,1.11061931114827
1.07,1.08100008890194
1.08,1.05675369756709
1.09,1.03635121988125
1.10,1.01881309051357
1.11,1.0034787278039
1.12,0.989884191716535
1.13,0.977692766865755
1.14,0.966653181303994
1.15,0.956573639914742
1.16,0.946887128397148
1.17,0.937879481470785
1.18,0.929471094004898
1.19,0.921584490187566
1.20,0.914156101473733
1.21,0.907143688350439
1.22,0.900499855145748
1.23,0.89418423112966
1.24,0.888163522083837
1.25,0.882409412828433
1.26,0.876897478787868
1.27,0.871606509815812
1.28,0.866517957913007
1.29,0.861615533964298
1.30,0.856884843883715
