t_s,log_x_up_m,log_y_west_m,log_z_north_m,sim_x_up_m,sim_y_west_m,sim_z_north_m,log_speed_m_s,sim_speed_m_s,log_roll_rate_deg_s_bias_corrected,sim_roll_rate_deg_s,state
21.010000,3418.300000,719.231925,185.704885,3213.267541,699.480083,-199.141267,0.000000,41.260676,-7.820000,-18.279390,coast
21.040000,3418.300000,719.231925,185.704885,3214.270231,700.154278,-199.333476,0.000000,41.002831,-7.820000,-18.227656,coast
21.120000,3422.340000,719.231925,185.704885,3216.897700,701.949432,-199.845137,0.000000,40.319065,-8.300000,-18.091125,coast
21.150000,3422.340000,719.231925,185.704885,3217.883002,702.622614,-200.037010,0.000000,40.062652,-8.300000,-18.039926,coast
21.230000,3428.420000,719.231925,185.704885,3220.506250,704.417527,-200.548590,0.000000,39.379271,-8.430000,-17.903530,coast
21.260000,3428.420000,719.231925,185.704885,3221.428396,705.087106,-200.739264,0.000000,39.128615,-8.430000,-17.854356,coast
21.340000,3431.510000,719.231925,185.704885,3223.887453,706.872650,-201.247727,0.000000,38.460200,-8.910000,-17.723225,coast
21.370000,3431.510000,719.231925,185.704885,3224.809599,707.542229,-201.438401,0.000000,38.209545,-8.910000,-17.674051,coast
21.450000,3434.020000,719.231925,185.704885,3227.238718,709.326101,-201.946307,0.000000,37.544208,-13.670000,-17.543926,coast
21.480000,3434.020000,719.231925,185.704885,3228.087512,709.991585,-202.135616,0.000000,37.301095,-13.670000,-17.497216,coast
21.560000,3436.400000,719.231925,185.704885,3230.350962,711.766209,-202.640440,0.000000,36.652792,-13.670000,-17.372657,coast
21.590000,3436.400000,719.231925,185.704885,3231.199755,712.431693,-202.829750,0.000000,36.409678,-13.670000,-17.325948,coast
21.670000,3441.290000,719.231925,185.704885,3233.463205,714.206318,-203.334574,0.000000,35.761375,-9.340000,-17.201389,coast
21.700000,3441.290000,719.231925,185.704885,3234.311999,714.871802,-203.523883,0.000000,35.518262,-9.340000,-17.154679,coast
21.780000,3444.160000,719.231925,185.704885,3236.400037,716.636867,-204.025520,0.000000,34.890722,-7.200000,-17.036322,coast
21.810000,3444.160000,719.231925,185.704885,3237.165368,717.297802,-204.213313,0.000000,34.657488,-7.200000,-16.992563,coast
21.890000,3448.570000,719.231925,185.704885,3239.206249,719.060298,-204.714093,0.000000,34.035531,-5.500000,-16.875874,coast
21.920000,3448.570000,719.231925,185.704885,3239.971580,719.721233,-204.901885,0.000000,33.802297,-5.500000,-16.832115,coast
22.000000,3450.720000,719.231925,185.704885,3242.001773,721.483161,-205.402476,0.000000,33.181827,-3.540000,-16.715825,coast
22.030000,3450.720000,719.231925,185.704885,3242.683957,722.139684,-205.588796,0.000000,32.960161,-3.540000,-16.675172,coast
22.110000,3453.830000,719.231925,185.704885,3244.503114,723.890410,-206.085651,0.000000,32.369051,-2.380000,-16.566765,coast
22.220000,3455.980000,719.231925,185.704885,3247.004455,726.297658,-206.768826,0.000000,31.556275,-1.220000,-16.417705,coast
22.250000,3455.980000,719.231925,185.704885,3247.686639,726.954181,-206.955146,0.000000,31.334608,-1.220000,-16.377052,coast
22.330000,3458.960000,719.231925,185.704885,3249.354834,728.697104,-207.449398,0.000000,30.768355,0.120000,-16.274596,coast
22.360000,3458.960000,719.231925,185.704885,3249.954167,729.349344,-207.634291,0.000000,30.560330,0.120000,-16.237209,coast
22.440000,3461.950000,719.231925,185.704885,3251.552390,731.088650,-208.127337,0.000000,30.005598,1.030000,-16.137511,coast
22.470000,3461.950000,719.231925,185.704885,3252.151723,731.740890,-208.312229,0.000000,29.797573,1.030000,-16.100124,coast
22.550000,3464.820000,719.231925,185.704885,3253.749945,733.480197,-208.805276,0.000000,29.242841,2.320000,-16.000426,coast
22.580000,3464.820000,719.231925,185.704885,3254.279173,734.128909,-208.988992,0.000000,29.048534,2.320000,-15.965950,coast
22.690000,3464.820000,719.231925,185.704885,3256.173950,736.505220,-209.661852,0.000000,28.345023,2.320000,-15.841437,coast
22.770000,3468.410000,719.231925,185.704885,3257.551969,738.233447,-210.151205,0.000000,27.833379,4.390000,-15.750883,coast
22.800000,3468.410000,719.231925,185.704885,3258.068726,738.881532,-210.334713,0.000000,27.641512,4.390000,-15.716925,coast
22.910000,3468.410000,719.231925,185.704885,3259.754191,741.247593,-211.004157,0.000000,26.986682,4.390000,-15.601544,coast
22.990000,3474.030000,719.231925,185.704885,3260.912680,742.965068,-211.489928,0.000000,26.526095,6.220000,-15.520568,coast
23.020000,3474.030000,719.231925,185.704885,3261.347113,743.609122,-211.672092,0.000000,26.353375,6.220000,-15.490202,coast
23.100000,3475.350000,719.231925,185.704885,3262.505601,745.326598,-212.157862,0.000000,25.892789,7.260000,-15.409226,coast
23.130000,3475.350000,719.231925,185.704885,3262.893289,745.968423,-212.339284,0.000000,25.732924,7.260000,-15.380996,coast
23.210000,3476.910000,719.231925,185.704885,3263.832858,747.675462,-212.821578,0.000000,25.332541,9.880000,-15.310024,coast
23.240000,3476.910000,719.231925,185.704885,3264.185196,748.315602,-213.002439,0.000000,25.182397,9.880000,-15.283410,coast
23.320000,3480.740000,719.231925,185.704885,3265.124765,750.022641,-213.484733,0.000000,24.782014,11.350000,-15.212439,coast
23.540000,3482.540000,719.231925,185.704885,3267.304913,754.698251,-214.804802,0.000000,23.810652,13.610000,-15.036518,coast
25.420000,3489.130000,719.231925,185.704885,3271.496363,773.990224,-220.240418,0.000000,21.619965,14.650000,-14.547863,coast
