time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z
0.0,0.0,0.0,0.0,0.0,0.0,-0.24525000000000002,1.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,2.3129480542437855,1.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,4.603433526398689,1.0,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0,0.0,0.0,6.962365084198744,1.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,9.389710814883372,1.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0,11.871967361154834,1.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,14.398616223593667,1.0,0.0,0.0,0.0
0.175,0.0,0.0,0.005943452376567983,0.0,0.0,16.966996711687056,1.0,0.0,0.0,0.0
0.19999999999999998,0.0,0.0,0.013816101238630366,0.0,0.0,19.533219779718042,0.9999999972402636,0.0,0.0,7.429315450207026e-05
0.22499999999999998,0.0,0.0,0.023736624459378495,0.0,0.0,22.085484333792042,0.9999999694968789,0.0,0.0,0.0002469944158249459
0.24999999999999997,0.0,0.0,0.03574315368511499,0.0,0.0,24.62215673642617,0.9999998521939542,0.0,0.0,0.0005437021885841104
0.27499999999999997,0.0,0.0,0.04980450466928203,0.0,0.0,27.13547548448937,0.9999995094632287,0.0,0.0,0.0009904914447485345
0.3,0.0,0.0,0.06581751905516059,0.0,0.0,29.619323038718257,0.9999986990386238,0.0,0.0,0.0016130471351383626
0.325,0.0,0.0,0.0836168866220523,0.0,0.0,32.073590433995314,0.9999970335219112,0.0,0.0,0.002435764228658737
0.35000000000000003,0.0,0.0,0.10299503271081281,0.0,0.0,34.517552509211136,0.999993941404499,0.0,0.0,0.0034809703094179183
0.37500000000000006,0.0,0.0,0.12374590815181909,0.0,0.0,36.96128669269135,0.9999886311329439,0.0,0.0,0.00476839646643928
0.4000000000000001,0.0,0.0,0.14566310272110608,0.0,0.0,39.40455133879436,0.9999800589561115,0.0,0.0,0.006315195177636637
0.4250000000000001,0.0,0.0,0.1685324721405182,0.0,0.0,41.84720120424438,0.9999669027399023,0.0,0.0,0.00813593416681605
0.4500000000000001,0.0,0.0,0.19214109048131833,0.0,0.0,44.28905499493471,0.9999475442454905,0.0,0.0,0.010242497615961887
0.47500000000000014,0.0,0.0,0.2162848528587754,0.0,0.0,46.72992244373905,0.9999200601876802,0.0,0.0,0.012644098792164495
0.5000000000000001,0.0,0.0,0.24077472314768386,0.0,0.0,49.16937933457311,0.9998822219165836,0.0,0.0,0.015347387241999614
0.5250000000000001,0.0,0.0,0.2654409827154588,0.0,0.0,51.60489471214678,0.9998315028045425,0.0,0.0,0.01835663366770475
0.5500000000000002,0.0,0.0,0.2901322329779541,0.0,0.0,54.03627794367736,0.999765091974005,0.0,0.0,0.021673967569630345
0.5750000000000002,0.0,0.0,0.31472213163750357,0.0,0.0,56.46328999394568,0.9996799138373276,0.0,0.0,0.025299602174607964
0.6000000000000002,0.0,0.0,0.3391094852411486,0.0,0.0,58.88568847064976,0.9995726495823152,0.0,0.0,0.02923214338686611
0.6250000000000002,0.0,0.0,0.36321723581756515,0.0,0.0,61.30606880610072,0.9994397594387883,0.0,0.0,0.033468899786771075
0.6500000000000002,0.0,0.0,0.38699660763345467,0.0,0.0,63.72450824495668,0.9992775041444827,0.0,0.0,0.03800617990239405
0.6750000000000003,0.0,0.0,0.4104180810107278,0.0,0.0,66.14080625006189,0.9990819611727462,0.0,0.0,0.04283964121254463
0.7000000000000003,0.0,0.0,0.43346774737392885,0.0,0.0,68.5547861941097,0.9988490397542296,0.0,0.0,0.04796452628822524
0.7250000000000003,0.0,0.0,0.45614434848160385,0.0,0.0,70.9726314124999,0.9985744931063727,0.0,0.0,0.05337585331730902
0.7500000000000003,0.0,0.0,0.478471283135631,0.0,0.0,73.3957995076114,0.998253927661755,0.0,0.0,0.05906856954319876
0.7750000000000004,0.0,0.0,0.5004797983325697,0.0,0.0,75.8241453800587,0.9978827974815558,0.0,0.0,0.06503785428797822
0.8000000000000004,0.0,0.0,0.5222023091906718,0.0,0.0,78.25741241583466,0.9974564020428662,0.0,0.0,0.0712792117219312
0.8250000000000004,0.0,0.0,0.5436706399179436,0.0,0.0,80.68940974250711,0.9969698853951093,0.0,0.0,0.07778847996498105
0.8500000000000004,0.0,0.0,0.5648997033360964,0.0,0.0,83.11943406788015,0.9964182349495556,0.0,0.0,0.08456181797958351
0.8750000000000004,0.0,0.0,0.5859046547451296,0.0,0.0,85.54729149502718,0.9957962976366056,0.0,0.0,0.09159548904410655
0.9000000000000005,0.0,0.0,0.606701464436838,0.0,0.0,87.97278819704512,0.9950987825651549,0.0,0.0,0.09888585812615627
