# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Corrective moment Coefficient ()
11.223,944.872,23.493,23.908,-10.162,0.448,11.896,2588.655,0.287,84.513,63.479,2.671,0,0.958,0.596,0.094,3.91
11.273,946.034,22.985,23.409,-10.153,0.641,11.678,2588.655,0.287,84.387,63.479,2.655,0,0.919,0.596,0.135,3.746
11.323,947.171,22.478,22.911,-10.143,0.787,11.459,2588.655,0.287,84.292,63.479,2.643,0,0.881,0.596,0.166,3.586
11.373,948.282,21.971,22.414,-10.128,0.791,11.243,2588.655,0.287,84.288,63.479,2.643,0,0.844,0.596,0.167,3.432
11.423,949.368,21.465,21.918,-10.115,0.851,11.028,2588.655,0.287,84.25,63.479,2.638,0,0.808,0.596,0.179,3.281
11.473,950.429,20.96,21.423,-10.097,0.751,10.813,2588.655,0.287,84.314,63.479,2.646,0,0.773,0.596,0.158,3.134
11.523,951.464,20.456,20.93,-10.071,0.413,10.604,2588.655,0.287,84.534,63.479,2.674,0,0.741,0.596,0.086,2.994
11.573,952.474,19.953,20.438,-10.053,0.364,10.398,2588.655,0.287,84.566,63.479,2.678,0,0.708,0.596,0.076,2.855
11.623,953.459,19.45,19.947,-10.038,0.384,10.191,2588.655,0.287,84.552,63.479,2.676,0,0.675,0.596,0.08,2.719
11.673,954.419,18.949,19.457,-10.019,0.51,9.985,2588.655,0.287,84.469,63.479,2.666,0,0.645,0.596,0.107,2.586
11.723,955.354,18.448,18.968,-10,0.748,9.783,2588.655,0.287,84.314,63.479,2.646,0,0.616,0.596,0.157,2.456
11.773,956.264,17.949,18.481,-9.99,0.689,9.58,2588.655,0.287,84.352,63.479,2.651,0,0.584,0.596,0.145,2.331
11.823,957.149,17.449,17.996,-9.978,0.747,9.375,2588.655,0.287,84.314,63.479,2.646,0,0.555,0.596,0.157,2.21
11.873,958.009,16.951,17.511,-9.961,1.01,9.172,2588.655,0.287,84.145,63.479,2.625,0,0.528,0.596,0.214,2.09
11.923,958.844,16.453,17.028,-9.944,1.318,8.972,2588.655,0.287,83.95,63.479,2.6,0,0.503,0.596,0.282,1.975
11.973,959.654,15.957,16.546,-9.927,1.709,8.775,2588.655,0.287,83.708,63.479,2.569,0,0.479,0.596,0.369,1.863
12.023,960.44,15.461,16.066,-9.909,2.167,8.581,2588.655,0.287,83.432,63.479,2.534,0,0.457,0.596,0.474,1.754
12.073,961.2,14.966,15.588,-9.894,2.537,8.39,2588.655,0.287,83.214,63.479,2.506,0,0.435,0.596,0.56,1.649
12.123,961.936,14.471,15.111,-9.882,2.734,8.2,2588.655,0.287,83.1,63.479,2.492,0,0.412,0.596,0.607,1.549
12.173,962.648,13.977,14.635,-9.871,2.961,8.011,2588.655,0.287,82.97,63.479,2.475,0,0.39,0.596,0.661,1.452
12.223,963.334,13.484,14.162,-9.863,3.031,7.823,2588.655,0.287,82.93,63.479,2.47,0,0.367,0.596,0.678,1.359
12.273,963.996,12.991,13.69,-9.859,2.851,7.633,2588.655,0.287,83.032,63.479,2.483,0,0.341,0.596,0.635,1.27
12.323,964.633,12.498,13.221,-9.849,3.084,7.443,2588.655,0.287,82.899,63.479,2.466,0,0.322,0.596,0.691,1.184
12.373,965.246,12.006,12.753,-9.836,3.571,7.258,2588.655,0.287,82.628,63.479,2.432,0,0.305,0.596,0.811,1.1
12.423,965.834,11.515,12.288,-9.828,3.749,7.076,2588.655,0.287,82.53,63.479,2.42,0,0.286,0.596,0.855,1.021
12.473,966.397,11.023,11.826,-9.816,4.216,6.895,2588.655,0.287,82.28,63.479,2.388,0,0.27,0.596,0.973,0.944
12.523,966.936,10.533,11.366,-9.801,4.919,6.72,2588.655,0.287,81.915,63.479,2.341,0,0.258,0.598,1.156,0.871
12.573,967.451,10.043,10.91,-9.79,5.408,6.548,2588.655,0.287,81.669,63.479,2.31,0,0.244,0.6,1.286,0.801
12.623,967.941,9.554,10.457,-9.784,5.675,6.378,2588.655,0.287,81.538,63.479,2.294,0,0.229,0.603,1.359,0.735
12.673,968.406,9.065,10.008,-9.776,6.064,6.209,2588.655,0.287,81.35,63.479,2.27,0,0.215,0.606,1.466,0.673
12.723,968.847,8.576,9.563,-9.763,6.818,6.044,2588.655,0.287,80.998,63.479,2.225,0,0.204,0.608,1.678,0.613
12.773,969.264,8.089,9.123,-9.748,7.806,5.883,2588.655,0.287,80.557,63.479,2.169,0,0.196,0.61,1.966,0.557
12.823,969.656,7.602,8.689,-9.73,8.991,5.856,2588.655,0.287,80.059,63.479,2.106,0,0.19,0.613,2.326,0.504
12.873,970.024,7.116,8.26,-9.717,9.909,5.812,2588.655,0.287,79.694,63.479,2.059,0,0.181,0.615,2.616,0.454
12.923,970.367,6.63,7.839,-9.707,10.72,5.979,2588.655,0.287,79.385,63.479,2.02,0,0.17,0.618,2.88,0.409
12.973,970.687,6.145,7.427,-9.696,11.629,5.772,2588.655,0.287,79.055,63.479,1.978,0,0.161,0.622,3.185,0.366
13.023,970.982,5.66,7.024,-9.689,12.457,5.889,2588.655,0.287,78.768,63.479,1.942,0,0.15,0.625,3.47,0.327
13.073,971.253,5.176,6.632,-9.682,13.314,5.772,2588.655,0.287,78.483,63.479,1.906,0,0.138,0.629,3.773,0.291
13.123,971.5,4.692,6.254,-9.672,14.513,5.842,2588.655,0.287,78.106,63.479,1.858,0,0.129,0.632,4.21,0.258
13.173,971.722,4.209,5.892,-9.659,15.911,5.887,2588.655,0.287,77.694,63.479,1.805,0,0.119,0.636,4.738,0.228
13.223,971.921,3.726,5.548,-9.641,17.702,5.74,2588.655,0.287,77.207,63.479,1.743,0,0.111,0.639,5.443,0.202
13.273,972.095,3.245,5.228,-9.623,19.631,5.762,2588.655,0.287,76.73,63.479,1.683,0,0.102,0.643,6.236,0.179
13.323,972.245,2.764,4.933,-9.606,22.109,5.75,2588.655,0.287,76.182,63.479,1.613,0,0.095,0.645,6.91,0.15
13.373,972.371,2.284,4.67,-9.585,24.795,5.667,2588.655,0.287,75.661,63.479,1.547,0,0.088,0.647,7.623,0.127
13.423,972.473,1.805,4.444,-9.565,27.498,5.519,2588.655,0.287,75.204,63.479,1.489,0,0.08,0.649,8.397,0.11
13.473,972.552,1.328,4.259,-9.545,30.248,5.547,2588.655,0.287,74.803,63.479,1.438,0,0.072,0.651,9.233,0.098
13.523,972.606,0.851,4.123,-9.52,33.192,5.547,2588.655,0.287,74.435,63.479,1.391,0,0.065,0.652,10.176,0.089
13.573,972.637,0.376,4.037,-9.486,36.28,5.547,2588.655,0.287,74.111,63.479,1.35,0,0.058,0.653,11.208,0.083
13.623,972.644,-0.098,4.007,-9.458,39.393,5.547,2588.655,0.287,73.843,63.479,1.316,0,0.05,0.654,12.281,0.081
13.673,972.627,-0.57,4.032,-9.651,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,3.636,40.291,NaN,NaN
13.775,972.518,-1.559,4.152,-9.405,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,3.721,40.291,NaN,NaN
13.88,972.302,-2.549,4.495,-9.127,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,4.14,40.291,NaN,NaN
13.988,971.973,-3.536,5.007,-8.825,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,4.557,40.291,NaN,NaN
14.1,971.522,-4.523,5.646,-8.465,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,5.256,40.291,NaN,NaN
14.216,970.939,-5.507,6.37,-8.077,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,5.929,40.291,NaN,NaN
14.338,970.21,-6.489,7.156,-7.599,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,6.982,40.291,NaN,NaN
14.467,969.31,-7.469,7.981,-7.021,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,8.421,40.291,NaN,NaN
14.605,968.209,-8.44,8.825,-6.406,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,9.845,40.291,NaN,NaN
14.756,966.865,-9.406,9.687,-5.727,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,11.423,40.291,NaN,NaN
14.923,965.212,-10.363,10.56,-4.926,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,13.487,40.291,NaN,NaN
15.113,963.156,-11.298,11.422,-4.111,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,15.464,40.291,NaN,NaN
15.335,960.55,-12.21,12.275,-3.283,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,17.381,40.291,NaN,NaN
15.607,957.108,-13.103,13.128,-2.371,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,19.614,40.291,NaN,NaN
15.961,952.323,-13.942,13.944,-1.447,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,21.896,40.291,NaN,NaN
16.458,945.211,-14.661,14.667,-0.62,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,23.903,40.291,NaN,NaN
16.958,937.803,-14.971,15.003,-0.269,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,24.696,40.291,NaN,NaN
17.458,930.284,-15.105,15.159,-0.096,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.126,40.291,NaN,NaN
17.958,922.719,-15.153,15.23,-0.033,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.272,40.291,NaN,NaN
18.458,915.138,-15.17,15.266,-0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.322,40.291,NaN,NaN
18.958,907.552,-15.175,15.282,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.388,40.291,NaN,NaN
19.458,899.966,-15.17,15.302,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,40.291,NaN,NaN
19.958,892.381,-15.168,15.304,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.364,40.291,NaN,NaN
20.458,884.798,-15.164,15.294,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,40.291,NaN,NaN
20.958,877.218,-15.159,15.293,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,40.291,NaN,NaN
21.458,869.64,-15.153,15.278,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,40.291,NaN,NaN
21.958,862.065,-15.148,15.273,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
22.458,854.492,-15.142,15.273,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
22.958,846.923,-15.136,15.273,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.375,40.291,NaN,NaN
23.458,839.356,-15.13,15.257,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.375,40.291,NaN,NaN
23.958,831.793,-15.124,15.241,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.382,40.291,NaN,NaN
24.458,824.232,-15.118,15.221,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,40.291,NaN,NaN
24.958,816.675,-15.112,15.226,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,40.291,NaN,NaN
25.458,809.12,-15.108,15.216,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.382,40.291,NaN,NaN
25.958,801.568,-15.101,15.223,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.367,40.291,NaN,NaN
26.458,794.018,-15.096,15.224,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.38,40.291,NaN,NaN
26.958,786.472,-15.09,15.232,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,40.291,NaN,NaN
27.458,778.928,-15.085,15.225,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
27.958,771.387,-15.08,15.216,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
28.458,763.848,-15.074,15.215,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.377,40.291,NaN,NaN
28.958,756.312,-15.068,15.22,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,40.291,NaN,NaN
29.458,748.779,-15.063,15.215,0.014,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.386,40.291,NaN,NaN
29.958,741.249,-15.056,15.191,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,40.291,NaN,NaN
30.458,733.722,-15.052,15.184,0.014,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.386,40.291,NaN,NaN
30.958,726.198,-15.045,15.16,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,40.291,NaN,NaN
31.458,718.677,-15.041,15.152,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,40.291,NaN,NaN
31.958,711.157,-15.036,15.151,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
32.458,703.641,-15.03,15.143,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
32.958,696.127,-15.025,15.133,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
33.458,688.616,-15.02,15.129,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,40.291,NaN,NaN
33.958,681.108,-15.014,15.115,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,40.291,NaN,NaN
34.458,673.602,-15.009,15.107,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
34.958,666.099,-15.003,15.102,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.379,40.291,NaN,NaN
35.458,658.599,-14.997,15.107,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,40.291,NaN,NaN
35.958,651.102,-14.992,15.105,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,40.291,NaN,NaN
36.458,643.607,-14.986,15.109,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,40.291,NaN,NaN
36.958,636.115,-14.981,15.106,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.377,40.291,NaN,NaN
37.458,628.626,-14.976,15.111,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
37.958,621.139,-14.97,15.113,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,40.291,NaN,NaN
38.458,613.655,-14.965,15.106,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
38.958,606.174,-14.96,15.095,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
39.458,598.695,-14.955,15.094,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
39.958,591.219,-14.949,15.094,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
40.458,583.746,-14.944,15.085,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,40.291,NaN,NaN
40.958,576.275,-14.939,15.087,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
41.458,568.807,-14.933,15.081,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,40.291,NaN,NaN
41.958,561.342,-14.928,15.084,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
42.458,553.879,-14.923,15.083,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
42.958,546.419,-14.918,15.077,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,40.291,NaN,NaN
43.458,538.962,-14.912,15.061,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
43.958,531.507,-14.907,15.05,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
44.458,524.055,-14.902,15.041,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
44.958,516.605,-14.897,15.031,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
45.458,509.159,-14.891,15.023,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN
45.958,501.714,-14.886,15.014,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,40.291,NaN,NaN
46.458,494.272,-14.881,15.005,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.378,40.291,NaN,NaN
46.958,486.833,-14.875,15.009,0.016,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.4,40.291,NaN,NaN
47.458,479.398,-14.867,15.025,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.362,40.291,NaN,NaN
47.958,471.965,-14.864,15.018,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.388,40.291,NaN,NaN
48.458,464.535,-14.857,14.992,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.367,40.291,NaN,NaN
48.958,457.108,-14.853,14.982,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,40.291,NaN,NaN
48.959,457.093,-14.853,14.982,61.515,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,184.589,293.153,NaN,NaN
48.975,456.859,-13.853,13.99,52.238,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,160.57,293.153,NaN,NaN
48.994,456.604,-12.853,13,43.607,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,138.227,293.153,NaN,NaN
49.017,456.32,-11.853,12.013,35.622,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,117.559,293.153,NaN,NaN
49.045,456.002,-10.853,11.027,28.286,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,98.574,293.153,NaN,NaN
49.081,455.636,-9.853,10.041,21.593,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,81.241,293.153,NaN,NaN
49.127,455.203,-8.853,9.06,15.547,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,65.589,293.153,NaN,NaN
49.191,454.665,-7.853,8.086,10.148,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,51.615,293.153,NaN,NaN
49.29,453.941,-6.853,7.124,5.415,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,39.414,293.153,NaN,NaN
49.473,452.779,-5.863,6.225,1.327,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,28.779,293.153,NaN,NaN
49.736,451.279,-5.514,5.899,0.043,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.459,293.153,NaN,NaN
50.017,449.734,-5.502,5.906,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN
50.298,448.189,-5.501,5.881,-0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
50.579,446.643,-5.501,5.887,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
50.86,445.098,-5.501,5.892,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
51.14,443.553,-5.5,5.904,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN
51.421,442.008,-5.499,5.872,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
51.702,440.463,-5.499,5.864,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN
51.983,438.919,-5.498,5.837,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
52.264,437.375,-5.499,5.83,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.383,293.153,NaN,NaN
52.545,435.831,-5.496,5.863,-5.815e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
52.826,434.288,-5.497,5.893,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN
53.106,432.745,-5.495,5.936,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.331,293.153,NaN,NaN
53.387,431.201,-5.497,5.92,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN
53.668,429.658,-5.496,5.894,-0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
53.949,428.116,-5.496,5.905,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
54.229,426.573,-5.496,5.899,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN
54.51,425.031,-5.494,5.869,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
54.791,423.489,-5.495,5.87,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.396,293.153,NaN,NaN
55.071,421.948,-5.492,5.826,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.381,293.153,NaN,NaN
55.352,420.406,-5.491,5.783,-0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.324,293.153,NaN,NaN
55.633,418.864,-5.494,5.776,9.252e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN
55.913,417.323,-5.493,5.772,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.395,293.153,NaN,NaN
56.194,415.783,-5.49,5.806,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.33,293.153,NaN,NaN
56.474,414.242,-5.492,5.821,7.63e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN
56.755,412.702,-5.492,5.814,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
57.035,411.162,-5.492,5.821,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
57.315,409.622,-5.491,5.833,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.382,293.153,NaN,NaN
57.596,408.083,-5.489,5.867,0.031,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.521,293.153,NaN,NaN
57.876,406.544,-5.48,5.947,-0.033,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.267,293.153,NaN,NaN
58.157,405.004,-5.489,5.98,7.921e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
58.438,403.465,-5.489,5.959,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.395,293.153,NaN,NaN
58.718,401.927,-5.486,5.91,5.152e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,293.153,NaN,NaN
58.998,400.388,-5.486,5.867,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN
59.279,398.85,-5.488,5.891,-9.833e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.342,293.153,NaN,NaN
59.559,397.312,-5.488,5.886,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN
59.839,395.774,-5.486,5.854,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
60.119,394.236,-5.487,5.872,2.79e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN
60.4,392.699,-5.486,5.883,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.411,293.153,NaN,NaN
60.68,391.162,-5.483,5.831,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
60.96,389.625,-5.484,5.8,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN
61.24,388.089,-5.485,5.815,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN
61.52,386.552,-5.484,5.843,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN
61.801,385.016,-5.485,5.846,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
62.081,383.48,-5.484,5.849,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.402,293.153,NaN,NaN
62.361,381.945,-5.481,5.803,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
62.641,380.409,-5.481,5.77,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.332,293.153,NaN,NaN
62.921,378.874,-5.483,5.765,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
63.201,377.339,-5.483,5.762,0.027,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.48,293.153,NaN,NaN
63.481,375.805,-5.475,5.819,-0.022,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.291,293.153,NaN,NaN
63.761,374.27,-5.481,5.809,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,293.153,NaN,NaN
64.041,372.736,-5.48,5.839,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.334,293.153,NaN,NaN
64.321,371.202,-5.481,5.838,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.38,293.153,NaN,NaN
64.601,369.668,-5.479,5.803,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.384,293.153,NaN,NaN
64.881,368.135,-5.477,5.762,-0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.325,293.153,NaN,NaN
65.161,366.601,-5.48,5.757,0.022,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.454,293.153,NaN,NaN
65.44,365.069,-5.474,5.808,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.407,293.153,NaN,NaN
65.721,363.536,-5.473,5.871,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,293.153,NaN,NaN
66.001,362.003,-5.474,5.93,-0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.324,293.153,NaN,NaN
66.281,360.47,-5.477,5.907,-6.821e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
66.56,358.938,-5.477,5.894,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.383,293.153,NaN,NaN
66.84,357.406,-5.475,5.931,-8.936e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
67.12,355.874,-5.475,5.899,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
67.4,354.342,-5.476,5.916,9.928e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
